skeptical, adj. 怀疑的
attendance," n. 出席,出席人数,出席率"
inimitable," adj. 无法仿效的, 不可比拟的"
peevish," adj. 易怒的, 暴躁的, 撒娇的"
vagary," n. 奇特, 好奇, 奇特行为，变幻莫测"
equator, n. 赤道
skit, n. 滑稽短剧，讽刺文章
architectural," adj. 建筑的,建筑学的,建筑术的"
wheeler, n. 车夫，有轮的东西，后马
millennium," n. 一千年, 太平盛世"
incomparable," adj. 无比的, 无双的, 无可比拟的"
wholeness," n.全体,完整性,健全"
explicate, vt. 详细解说，阐述
coercion," n. 强迫, 威压, 高压政治"
invert, v. 使反向;使倒置
glucose, n. 葡萄糖
geophysical, adj. 地球物理学的
ostensibly," adv. 表面上,外表上"
periphery," n. 周边(边缘,圆周,圆柱体表面)"
aphorism," n. 格言, 警语"
masterly," adj. 巧妙的, 熟练的
adv. 巧妙地, 熟练地"
baffle," v. 困惑, 为难"
malfunction," n. 故障
v. 发生故障, 不起作用"
haven," n. 港口, 避难所, 安息所
v. 安置...于港中, 庇护"
interdependent," adj. 相互依赖的, 互助的"
blatant," adj. 喧嚣的,吵闹的,俗丽的,明目张胆的"
emission," n. 发射, 射出, 发行"
proximity," n. 接近,亲近"
descendent," adj. 下降的, 降落的, 世袭的
n. 后代，子孙
=descendant"
aberrant," adj. 脱离正道的, 脱离常轨的, 变体的，畸变的"
collide," vi. 碰撞,互撞,砥触"
crate," n. 板条箱, 篓子"
quantitative," adj. 数量的,定量的"
contagious," adj. 传染性的,会蔓延的,会传播的"
intestine," adj. 国内的, 内部的
n. 肠"
groundbreaking, adj. 创新的
preventive," adj. 预防的，防病的
n. 预防物，预防性措施"
disorderly," adj. 无秩序的, 乱的, 骚动的"
reunite," v. 再结合，再统一, 重聚"
ban," n. 禁令
v. 禁止
vt. 禁止,取缔"
penicillin, n. 青霉素
dignity," n. 尊严, 高贵, 端庄"
fieldwork," n. 现场工作(野外测量, 实地测量, 外业)"
sue," vt. 控告, 起诉
vi. 请求, 追求, 起诉
n. (Sue)人名；(日)末(名)；(法)休；(英)休(女子教名Susan、Susanna的昵称)"
cosmopolitan," adj. 世界性的, 久经世故的"
fatally," adv. 致命地, 不幸地, 宿命地"
repulsive, adj. 令人憎恶的;让人厌恶的;使人反感的；相斥的;排斥的;斥力的
composer, n.创作者（尤指乐曲的）
absolutism," n. 专制主义, 专制政治论, 绝对论"
implicate," vt. 纠缠(使...绕住, 暗示)
n. 包含的东西(暗指的东西)"
mythological," adj. 神话学的, 神话的"
jurist," n. 法学家, 法理学者, 法律著作家"
incidence," n. 发生(率),入射"
transgressor," n. 违反者, 犯规者, 罪人"
curtail," vt. 缩减, 削减，截短"
eruption," n. 爆发,喷发，出疹，长牙"
familial, adj. 家族的，家庭的
disinclined," adj. 不愿的, 不想的"
repugnant," adj. 令人厌恶的, 讨厌的，不一致的"
trait," n. 特征,特点,特性,品质"
indigenous," adj. 该土地所固有的,土著的,国产的"
initiate," n. 创始人
adj. 新加入的
vt. 开始,创始,启蒙,介绍加入"
inept," adj. 不适当的, 无能的, 笨拙的"
lawmaker, n. 立法者
insignificant," adj. 无关紧要的, 可忽略的，不重要的，无用的"
planetary, adj. 行星的，有轨道的
neutralize," v. 使中立, 使成中立地带, 中和"
revoke," vt. 撤回(回想)
n. 取消(回想)"
rift," n. 裂口, 隙缝, 切口
v. 裂开, 割开，渗入"
configuration," n. 结构,布局,形态,格式塔心理完形
[计算机] 配置"
urbanity," n. 都市风格, 谦恭有礼, 举止文雅"
intertwine," v. 纠缠, 缠绕, 编结"
instigate," v. 教唆 , 煽动, 唆使, 策动 , 主使, 激励"
nightside," n. 夜面, 阴面"
readjust," v. 再调整, (使)重新适应"
abate," v. 缓和, 减弱"
intrinsic," adj. 固有的, 内在的"
intrigue," n. 阴谋,复杂的事,私通
vt. 欺骗,激起...的兴趣
vi. 密谋"
detest, v. 厌恶
devastate," vt. 毁坏,使震惊"
descendant," n. 子孙, 后代"
hydraulic," adj. 水力的, 水压的"
detach," vt. 使分离, 拆卸
[计算机] 脱离"
kindle," v. 燃烧, 使...著火, 引起，激发"
expressly," adv. 明白地, 清楚地, 特别地
adv. 特意地，专程地"
clarification," n. 澄清, 阐明"
spine," n. 背骨, 脊柱, 尖刺"
microbiology, n. 微生物学
dissimilar, adj. 不同的
extrapolate," v. 预测, 推测"
forum," n. 论坛, 讨论会"
uncontrollable," adj. 不可控制的, 控制不住的"
subconscious," adj. 潜意识的，下意识的
n. 潜意识"
genre," n. 类型,流派"
debilitate, vt. 使...衰弱
liability," n. 责任, 可能性，债务, 不利因素"
precedent," adj. 在前的,在先的
n. 先例,前例"
anarchic," adj. 无政府状态的, 无法无天的，杂乱无章的"
deprivation," n. 剥夺, 剥夺官职, 免职"
subtlety," n. 微妙, 明敏"
possessor," n. 持有人, 所有人"
software, n. 软件
diverge, v. 分歧
legislative," n. 立法机构, 立法权
adj. 立法的, 有立法权的"
homogeneous," adj. 同种的,同质的,均质的"
demur," vi. 提出异议, 反对, 拖延
n. 异议, 反对"
incontrovertible," adj. 无争论之余地的,无疑的,明白的"
spokesman, n. 发言人
seep," v. 渗出, 渗漏
n. 渗漏，小泉，水（油）坑"
utopia," n. 理想国, 乌托邦"
channel," n. 通道,频道,海峡,方法
vt. 引导,开导,形成河道,输送"
respiration, n. 呼吸；呼吸作用
antigen, n. [医] 抗原
mammal, n. 哺乳动物
unleash," v. 解开...的皮带, 解除...的束缚, 解放"
surrogate," n. 代理；代用品；遗嘱检验法官
vt. 代理；指定某人为自己的代理人
adj. 代理的；替代的"
contingency," n. 偶然, 可能性, 意外事故, 可能发生的附带事件"
stratospheric, adj. 平流层的，同温层的，极高的
operative," adj. 有效的, 至关重要的, 操作的，手术的
n. 技工，侦探"
mysticism," n. 神秘, 神秘教, 神秘论"
impediment," n. 障碍(障碍物,行李,辎重)"
correspondingly, adv. 相应地
adore," v. 崇拜,爱慕,喜爱"
regimentation," n. 严格控制, 纪律"
agitation," n. 激动,兴奋,煽动"
successor," n. 接班人,继任人"
alert," adj. 警觉的,灵敏的
n. 警戒,警报
vt. 警惕,使意识到"
geyser," n. 天然热喷泉，间歇泉
n. 热水器"
astrology," n. 占星术, 占星学"
belie," vt. 掩饰, 与...不符, 使...失望"
episode," n. 插曲,插话,(作品的一段)情节,有趣的事件"
watercolor," n. 水彩颜料，水彩画（法）
adj. 水彩(画)的"
amateur," adj. 业余(爱好者)的
n. 业余爱好者,外行"
ribaldry," n. 下流, 猥亵的话"
conceivable," adj. 想得到的, 可想像的, 可能的"
cleave," vt. 劈开, 使分开，穿过
vi. 劈开，分开，粘住，依恋"
analogy," n. 相似,类似，类比"
strand," n.（绳子的）股，绞； 海滨，河岸； （思想等的）一个组成部分
vt.使滞留，使搁浅； 使陷于困境
vi.搁浅； 陷入困境"
climatologist, n. 气象学家
mountainous, adj. 多山的，如山一般的
symbiosis," n. 共生, 共栖"
ineffective, adj. 无效的，无能的，效率低的
unfairly, adv. 不公平地，不正当地
outweigh," v. 比...为重, 比...重要, 比...有价值"
gradation," n. 灰度, 浓淡度, 渐变, 过度, 元音交替"
temerity, n. 鲁莽，冒失；蛮勇
evangelical," n. 信福音主义者
adj. 福音(书)的, 新教会的"
nightmare," n. 恶梦,使人极其痛苦的事情或经历,梦魇"
mindless," adj. 不小心的, 不留神的, 不顾虑的"
beleaguer, vt. 围攻，使烦恼
fabricate, vt. 制造；伪造；装配
intensify," vt. 增强(强化,加剧,加厚,增高银影密度)"
dissonance," n. 不一致, 不和谐
[音]不协和音"
bereave, v. 剥夺
consumerism," n. 用户至上主义, 商品的消费和销售性服务"
botanist, n. 植物学家
indictment," n. 起诉, 控告, 起诉状"
bizarre," adj. 奇异的,怪诞的
n. 奇异花"
contemplative," adj. 沉思的, 爱默想的, 冥想的"
agitate," vt.搅动，摇动； 使不安； 激烈讨论
vi.鼓动，煽动"
progressively," adv. 渐进地, 逐渐地"
improbable," adj. 未必然的, 不像会发生的, 似不可信的"
turbulence," 动荡
n. 喧嚣, 狂暴, 骚乱, 湍流"
fidelity," n. 忠实,忠诚，准确性"
ingrain," v. 生染, 就原料染色, 使根深蒂固
adj. 生染的, 生来的, 根深的
n. 生染的纤维"
insightful," adj. 富有洞察力的,有深刻见解的"
uncontroversial," adj. 非争论性的, 未引起争论的"
turtle, n. 海龟
diabetes, n. 糖尿病
concatenation," n. 连结, 一连串"
fugitive," adj. 逃亡的, 易变的, 无常的
n. 逃亡者, 亡命者, 难捕捉之物"
frail," adj. 脆弱的, 虚弱的"
suggestive," adj. 提示性的, 影射的, 暗示的"
effusion," n. 流出, 溢出"
mired," adj. 陷入的
动词mire的过去式和过去分词形式"
instructive, adj. 教育性的，有启发的，有益的
excitement," n. 激动, 兴奋"
panacea, n. 万灵药，灵丹妙药
disclosure," n. 揭发,败露"
annoyance," n. 烦恼, 生气, 令人讨厌的人或事情"
mutate," vi. 变异, 突变
vt. 使变异, 使突变"
peacock," n. (雄)孔雀，爱炫耀的人
v. 炫耀"
vaccinate, v. 预防接种
undersea," adj. 海底的
adv. 在海面下(=underseas)"
argumentation, n. 争论，讨论，论证
unseat, vt. 使 ... 退职，使 ... (从马背上摔下)
connive," v. 假装不见,默许,共谋"
geneticist, n. 遗传学家
quibble," n. 谬论；双关语；遁辞
vi. 诡辩；挑剔；说模棱两可的话
vt. 对…诡辩"
pupa, n. 蛹
meretricious," adj. 华而不实的, 俗艳的，似是而非的"
admirable," adj. 令人钦佩的, 令人赞赏的"
festive," adj. 庆祝的,喜庆的,欢乐的"
lineage," n. 家系, 血统"
prenatal," adj. 产前的, 出生前的"
repeal," n. 废止, 撤销"
ancestral," adj. 祖先的, 祖传的"
highlight," n. 加亮区,精彩部分, 最重要的细节或事件, 闪光点
vt. 加亮,强调, 使...显得重要, 照亮
[计算机] 醒目"
clamor," n. 喧闹,叫嚷,大声的要求
v. 喧嚷,大声的要求"
beget," v. 产生,引起
vt. 产生,生(子女)"
cone," n. 圆锥体,锥形物,球果
vt. 变成锥形,削尖"
irreconcilable," adj. 不能和解的, 不能协调的, 矛盾的"
portray," v. 描写,描写...的肖像,逼真地描写"
migratory," adj. 迁移的, 流浪的"
whale," n. 鲸,大量
vi. 捕鲸
vt. 鞭打,打击,打败"
innuendo," n. 讽刺, 讥讽
vi. 说讽刺话"
antithetical, adj. 对偶的，对立的
windmill," n. 风车
v. (使）像风车一样旋转"
sincerely, adv. 真诚地，真心地
newcomer," n. 新来的人, 新手"
fertilization, n. 受精，肥沃化
grudge," n. 怨恨,恶意
vt. 怀恨,嫉妒,吝惜"
volatile," adj. 反复无常的, 挥发性的, 稍纵即逝的, 脾气火爆的 n. 挥发性物质"
oxygen," n. 氧,氧气"
vulnerable," adj. 易受伤害的, 有弱点的"
rightly," adv. 正当地, 公义地，正确地"
proficient," adj. 熟练的,精通的
n. 能手,专家"
acculturation, n. 文化之传授，文化移入
hardheaded," adj. 顽固的，现实的, 冷静的，脚踏实地的"
bankruptcy, n. 破产
strive," v. 努力,奋斗,力争"
heed," n. 注意,留心
vt. &vi. 注意,留心"
atypical, adj. 非典型的
dispersion, n. 散布
imperialist," n. 帝国主义者
adj. 帝国主义的"
notoriously," adv. 臭名昭著地,众所周知地"
coherent," adj. 互相耦合的,清晰的，明了的，凝聚性的,连贯的"
coincide," v. 与...一致,符合,暗合"
nutritional," adj. 营养的,滋养的"
collaborate," vi. 合作,通敌"
crater," n. 弹坑, 火山口"
rebuild, v. 重建，改建，使复原
splice," v.&amp;n. 接合,衔接
vt. 拼接"
identification," n. 身份的证明
n. 视为同一,证明同一,确认"
phantom," n. 幻影, 虚位, 幽灵
adj. 错觉的, 幻影的, 幽灵的"
macho," adj. 男子的
男子气的"
introspective, adj. 反省的，内省的
intrusion," n. 闯入, 侵扰"
enchanting," adj. 迷人的
动词enchant的现在分词"
compatible," adj. 能共处的,可并立的,适合的, 兼容的
n. 兼容"
compensate," vt. &vi. 偿还,补偿,付报酬"
clergyman, n. 牧师
nationally, adv. 全国性地，举国一致地
skeletal," adj. 骨骼的, 骸骨的"
farce," n. 闹剧, 胡闹，滑稽戏
vt. 添加笑料，填充"
impede," v. 妨碍,阻碍,阻止"
epic," n. 史诗,叙事诗
adj. 史诗的,叙事诗的,宏大的,壮丽的"
digression," n. 离题,扯到枝节上,脱轨"
richness," n. 富裕, 丰富, 肥沃"
involvement," n. 包含, 缠绕, 混乱, 复杂的情况"
cryptic," adj. 秘密的(使用密码的, 意义深远的)"
biochemical, adj. 生物化学的
governorship, n.总督(或州长等地方行政长官)的职位(或职责、任期)
consistency," n. 坚持, 一致性, 强度, 硬度, 浓稠度"
savior," n. 救助者, 救主
Savior: 救世主耶稣
=saviour"
predatory," adj. 掠夺的, 掠夺成性的, 捕食生物的"
disappearance, n. 消失
inland," adj. 内陆的, 国内的
adv. 内陆地
n. 内陆"
troupe," n. （演出的）一团, 一班
vi. 巡回演出"
unremarkable," adj. 平凡的, 不出色的"
plethora," n. 过量, 多血症"
prominence, n. 突出；显著；突出物；卓越
excellence," n. 优秀, 卓越, 优点"
thoroughly, adv. 彻底地
reflectivity, n. 反射率，反射性，反射比
neutrino, n. 中微子
respecter," n. 趋炎附势者, 尊敬者"
insulate," v. 使...绝缘, 隔离
[计算机] 绝缘"
externality, n. 外表，外在性，外部的事物
intellect, n. 智力，思维逻辑领悟力，理解力/nn. 知识份子，智力高的人，才智超群的人
poignant," adj. 悲伤的,痛切的，严厉的, 尖锐的, 剧烈的，浓烈的"
unmistakable," adj. 错不了的, 明显的"
suitability," n. 适合, 适当, 适合与否"
redistribution, n. 重新分配，再区分
virtuoso, n. 艺术能手，演艺精湛的人
virus," n. 病毒, 毒素, 有害的事物"
degradation," n. 降格,堕落,退化"
cataclysm," n. 大洪水, 地震, (社会政治的)大变动"
fickle," adj. 变幻无常的, 轻浮的，（爱情或友情上）易变的"
mock," n. 嘲笑,戏弄,模仿
adj. 假的,伪造的
vt. 嘲弄,模仿,轻视
vi. 嘲弄"
dispirit," vt. 使沮丧, 使气馁"
nonviolent, adj. 非暴力的
acclaim," n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
expendable," n. 消耗(消耗品)
adj. 可消费的(不重复使用的,排出的)"
obstinacy," n.  顽固, (病痛等)难治"
dishonesty, n. 不诚实，不法行为
trustworthy, adj. 可信赖的
adamant," adj. 非常坚硬的，强硬的，固执的
n. 坚硬无比之物，硬石"
multiplicative, adj. 倍增的，趋于增加的
biological, adj. 生物学的
uninformative," adj. 不提供信息(或资料)的, 不增进知识的, 不增长见闻的"
skeleton," n. 骨架,纲要,骨骼,骨瘦如柴的人或动物,家丑
adj. 骨骼的"
colored," adj. 染色的
adj. 有色人种的
动词color的过去式和过去分词"
junk," n. 垃圾,废旧杂物,中国平底帆船
vt. 丢弃"
tractable, adj. 易于管教的
practitioner, n. 从业者
juxtapose," vt. 并置, 并列"
obsolescent, adj. 荒废的
glaciation, n. 冰河作用，冻结成冰
repetitious," adj. 多次反复的, 重复的, 反复性的"
seasonal," adj. 季节的, 依照季节的, 周期性的"
encase," v. 包围,装入箱内
vt. 把...装入箱中,包起"
divert," vt. 转移,使欢娱
vi. 转移"
shoreline, n. 海岸线，沿海地带
interchange," n. 交换, 立体交叉道
v. 交换"
antagonist," n. 敌手, 对手，[医]对抗剂,[生理]对抗肌"
octogenarian, n. 八旬老人(八十到八十九岁间)
strikingly," adv. 显著地，突出地, 惊人地, 引人注目地"
sloppy," adj. 被泼水弄湿的, 泥泞的, 多阴雨的，邋遢的，零乱的"
superstructure," n.  上层建筑
n.  上层结构，上部构造"
unwonted," adj. 不习惯的,不寻常的,非习常的"
forcibly, adv. 强行地，强烈地
supposedly," adv. 想来(恐怕, 按照推测)"
diagonal," adj. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
salient," adj. 突出的,显著的
n. 突出部分"
opportunistic, adj. 机会主义的，投机取巧的
onerous," adj. 繁重的, 麻烦的"
populist," n. 平民主义者, 平民论者"
solicitous," adj. 热心的,热切想要...的,热切期望"
elegant," adj. 优雅的, 精美的, 俊美的"
masculine," n. 阳性, 男性
adj. 男性的, 阳性的, 有丈夫气的"
obviate," v. 除去,排除,回避"
opacity, n. 不透明，晦涩难懂，迟钝，暧昧
elliptical, adj. 椭圆的，省略的，简要的
speedy," adj. 快速的(高速的, 迅速的, 敏捷的, 立即的)"
introductory," adj. 介绍的, 引导的, 开端的"
acknowledge," vt. 承认,公认,告知收到,表示感谢,注意到"
insight, n. 洞察力
symbolize," v. 象征, 用记号表现"
avid," adj. 渴望的,贪婪的,热心的"
inaccuracy," 不准确度, 错误"
subsidiary," adj. 辅助的,附属的
n. 子公司,附属机构"
problematic," adj. 问题的, 有疑问的"
enlighten," v. 授与...知识, 启发, 启蒙"
suffice," vi. 足够,合格
vt. 使...足够"
invalid," adj. 无效的,伤残的
n. 病人,残疾者
vt. 失去健康"
missionary," n. 传教士, 负有任务者, 工作人员
adj. 传教的, 负有使命的"
orthodoxy," n. 正统说法, 正教, 信奉正教"
statute," n. 法令, 法规"
parameter," n. 参数,参量,决定因素"
snobbery," n. 充绅士气派, 俗不可耐的性格"
appropriation," n. 拨用, 挪用, 拨款"
scathing," adj. 严厉的, 尖刻的
动词scathe的现在分词形式"
arousal," n. 激励, 鼓励, 唤醒, 激发"
anionic, adj. 阴离子的
lucidity," n. (思路、表达）清晰
洞彻事理"
stun," vt. 使晕倒,使惊吓
n. 震惊"
tact," n. 机智, 手法"
sociologist, n. 社会学家
exposition," n. 博览会, 展览会, 说明"
genus," n. 种, 类，属"
interrelationship, n. 相互关系
complication, n. 并发症；复杂；复杂化；混乱
foible," n. 小缺点, 小毛病
n. 剑刃"
vindicate, vt. 维护；证明…无辜；证明…正确
humanitarianism, n. 人道主义，博爱主义
navigate," vi. 航行,驾驶,操纵
vt. 航行,驾驶"
imprint," vt. 刻上记号(加特征, 印刷, 盖印, 压印, 铭记)
n. 印记(痕迹, 特征, 印象)"
luminance," n. 发光, [物]亮度"
automate," v. 自动化
vt. 使自动化"
mesoscale," n. 中尺度
adj. [气]中尺度的"
facet," n. 小平面, 方面, 刻面"
verdict," n. 裁定, 定论"
demonstration," n. 示范,实证,表达,集会"
disapprove, v. 不赞成
banquet," n. 宴会
vi. 宴请
vt. 宴会, 设宴"
palatial," adj. 宫殿般的, 具有宫殿特色的，宏伟的"
wholehearted, adj. 全心全意的，诚恳的
founder," n. 创立者, 建立者
v. 摔倒, 失败，沉没，弄跛"
taunt," n. 辱骂, 嘲弄
v. 嘲弄"
contribution," n. 贡献,捐款(赠)"
domain," n. 领域
[计算机] 域"
temperate," adj. 温和的, 适度的, 有节制的"
phylum," n. 门,语系"
tenor," n. 要旨，誉本，一般趋向，男高音，次中音乐器
adj. (乐器)次中音的, (组钟中的)最低音的, 男高音的
n. [语]本体"
kindergarten, n. 幼儿园
overload," v. 超载,过载,超过负荷
n. 超载,负荷过多
[计算机] 过载"
favorite," adj. 流行的，喜爱的
n. 最喜爱的人或物, 被认为最有可能胜出的竞争者"
overwhelm," v. 淹没,受打击,压倒"
innovative," adj. 革新的, 创新的"
unfold," v. 展开, 开放, 显露"
midwife," n. 助产士, 接生婆"
inestimable," adj. 无价的, 无法估计的"
foliage, n. 叶子(总称)，簇叶
particulate," n. 微粒子，微粒状物质
adj. 微粒的"
transcendence," n. 超越, 卓越"
ineptitude," n. 不适当, 愚笨, 愚昧的言行"
parsimony," n. 过度节俭, 吝啬"
medieval, adj. 中世纪的
gallantry," n. 勇气,豪勇,勇敢的行为"
vaporize," v.(使)蒸发
=vaporise(英)"
relentless, adj.不懈的； 坚韧的，不屈不挠的； 不间断的； 未减轻的
versus, prep. 对；与...相对；对抗
twig," n. 小枝, 嫩枝
v. 理解，领悟"
premise," vt. 引出，预先提出；作为…的前提
n. 前提；上述各项；房屋连地基
vi. 作出前提"
variously," adv. 不同地, 各种各样地"
petulant," adj. 暴躁的, 易生气的, 难以取悦的"
unequivocally, adv.只有一种含意地，清楚明白地
transcendent," adj. 卓越的
n. 卓越的人"
hydrothermal," adj. 水热作用的, 热液的"
vacancy," n. 空白, 空缺"
workable," adj. 易加工的, 可使用的, 切实可行的"
linguist, n. 语言学家
beguile, vt. 诱骗，欺骗
plume," n. 羽毛
v. 整理羽毛, 骚首弄姿
vt. 用羽毛装饰"
iniquitous," adj. 不正的, 不法的, 邪恶的"
regime, n. 政权，政体；社会制度；管理体制
circumscribe," vt. 在...周围画线, 限制"
preindustrial," adj. 未工业化的, 工业化前的"
slay," v. 杀, 杀害, 残杀"
designer, n. 设计者
aristocratic," adj. 贵族的, 贵族政治的"
infection," n. 传染, 影响, 传染病"
villain," n. 坏人, 恶棍"
groundless, adj. 无根据的
colonize," v. 开拓殖民地,殖民,移植"
chatter," n. 饶舌, 啁啾, 喋喋不休地谈，(小溪的)潺潺流水声，(牙齿)打颤
v. 喋喋不休地谈, 咔嗒作响"
discouragement, n. 挫折
portraiture," n. 肖像画家,肖像画,人物描写"
refrigerant," adj. 冷冻的,冷却的,清凉的
n. 清凉剂,冷却剂,冷冻剂"
byword, n. 谚语，俗语，有代表性的人，绰号
counteract, vt. 抵消，中和，消解，抵制
uneven," adj. 不平坦的, 不均匀的, 奇数的"
perspicuous, adj. 明晰的，易懂的
endorsement," n. 支持,认可,背书"
interpose," v. 插入,介于...二者间,干涉"
conjure," v. 以咒文召唤,变戏法,向...许愿"
depict," vt. 描述,描绘"
obstruction," n. 障碍, 妨碍, 闭塞"
intervention," n. 插入,介入,调停"
quash, vt.[法]废除，使无效； 捣碎，压碎； 平息，镇压
ravage," n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
unimaginative, adj. 缺乏想象力的
plausible," adj. 似真实的,似合理的,说得蛮像回事的"
countenance," n. 面容,面部表情,支持 v.支持, 赞成, 同意"
covert," adj. 隐蔽的, 偷偷摸摸的, 隐密的n. 藉口, 树丛, 蔽覆羽翮基部的羽毛"
privacy," n. 隐私, 隐居, 秘密"
flurry," n. 一阵疾风, 狂喜, 忙乱
vt. 使焦躁迷惑
vi. 使出于焦躁迷惑的状态"
preservation, n. 保存
psychotherapist, n. 精神治疗医师
spontaneity," n. 自然发生, 自生, 自发"
spoof," n. 诳骗, 愚弄, 戏弄
v. 揶揄, 嘲讽"
incidentally," adv. 附带地, 偶然地, 顺便地"
residual," adj. 残余的,剩余的
n. 剩余部分, (复)追加酬金"
pollinator, n. 授花粉器
disproportionate, adj. 不成比例的
conviction," n. 定罪, 信服, 坚信"
causal," adj. 原因的,关于因果的"
inference," n. 推理,推论"
transporter, n. 运输者，运输装置
Neolithic, adj. 新石器时代的
adoration," n. 崇拜, 爱慕"
quadrille," n. 四人用四十张纸牌玩的牌戏, 方舞, 其舞曲"
lopsided," adj. 倾向一方的,不平衡的"
foresight," n. 远见, 深谋远虑"
judicial," adj. 法庭的, 公正的, 审判上的"
revelation," n. 揭露,泄露,发觉"
sonata, n. 奏鸣曲
flotation," n. 漂浮，(企业等的)筹资开办, (债券等的)发行"
cutter," n. 裁剪者, 切割者, 切割器
n. 快艇，巡逻艇
n. 轻便雪橇"
adumbrate," n. 预示,勾画
v. (对将来事件)预示
vt. 画轮廓, 预示"
delude," vt. 欺骗，迷惑, 蛊惑"
immaterial," adj. 非物质的, 无形的, 精神的，不重要的"
demography, n. 人口统计学
debut," n. 初次登场
vt.&vi. 初次登场"
poorly," adv. 贫穷地，不充份地，贫乏地
adj. 身体不舒服的，心情恶劣的"
vineyard," n. 葡萄园, 酿酒庄园"
seemingly, adv. 表面上(看上去)
verbal," adj. 动词的,口头的,用言辞的,用文字的
n. 动名词"
dedicate," vt. 献出,提献辞,致力于"
aquifer, n. 含水土层(含水量足以成为井水或泉水)
manipulation, n. 操作，控制，窜改
consummate," v. 成就, 作成, 使达到极点
adj. 无上的, 至上的, 完全"
freshwater," adj. 淡水的，内河（航行）的
n. 淡水"
determinant," n. 行列式(决定因素)
adj. 决定性的"
sarcasm," n. 挖苦, 讽刺"
accede, vi.同意，就职，加入
allocation," n. 配置, 分配, 安置"
capitalism, n. 资本主义
destiny, n. 命运
delimit," vt. 定界限, 划界"
script," n. 原稿,手稿,脚本
vi. 写剧本"
incoming," adj. 即将到来的,刚开始的
n. 进来, 收入（通常复数）"
adaptable, adj. 能适应的，适应性强的，可改编的
extinction, n.熄灭； 消灭，灭绝； 废除； [物]消光，自屏，衰减
underwater," adj. 在水中生长的，水下的
adv. 水下面地"
latent," adj. 潜伏的,潜在的
n. 隐约的指印, 指纹"
catastrophe," n. 大灾难,大祸,彻底失败"
overcrowd, v. (使)过度拥挤
inheritor," n. 继承人, 后继者"
prohibitive," adj. 禁止的, 抑制的，（价格等）过高的"
understatement, n. 少说，有保留地陈述
disposition," n. 性情,倾向,安排, 处置, 控制
[计算机] 配置情况"
riveting," adj. 动听的，令人着迷的，非常精彩的
动词rivet的现在分词形式"
humanism, n. 人道主义
anaerobic, adj. 厌氧的
unspoken," adj. 未说出口的，不言而喻的
动词unspeak的过去分词"
elated," adj. 兴高采烈的
动词elate的过去式和过去分词形式"
observatory, n. 天文台；气象台；瞭望台
imperfection," n. 不完全, 不完备, 缺点"
poll," n. 投票,民意测验,民意,票数
vt. 做民意测验,获得...票,剪树枝 
vi. 投票"
complaisance," n. 彬彬有礼, 殷勤, 奉承"
predominantly," adv. 优越地,卓越地,主要地"
ameliorate," vt. 使…改善,改良
vi. 改善,变好"
designation," n. 指示,指定,指名"
activate," v. 刺激,使...活动,创设"
premeditated," adj. 预先想过的, 预谋的, 有计划的
动词premeditate的过去式和过去分词形式"
exhilaration," n. 高兴, 兴奋"
loath," adj. 不愿意的, 勉强的"
immensely," adv. 极大地, 无限地"
evanescent," adj. 逐渐消失的,容易消散的,会凋零的"
anticipation," n. 预期, 预料"
knowingly, adv. 会意地，故意地
eccentric," n. 怪人
adj. 古怪的, 反常的"
manageable," adj. 易办的, 易管理的, 易控制的"
standardize," v. 标准化, 使合于标准"
lunatic," adj. 疯狂的，极蠢的
n. 疯子"
stabilize," v. 使安定, 使坚固"
senescent," adj. 衰老的, 老化的"
heron, n. 苍鹭
duckling, n. 小鸭子
heretofore," adv. 以前, 迄今为止"
marvel," n. 奇异的事物, 罕见的例子
v. 惊异于, 惊异"
articulate," adj. 有关节的,发音清晰的
vt. &vi. 以关节连接,接合,明白地说"
exemplify," vt. 例证,例示"
ingenuity," n. 智巧, 创造力, 精巧的设计"
colt," n. 小马, 无经验的年轻人
Colt：n. 柯尔特公司(美国著名的制枪厂商)"
episodic, adj. 插话式的
swirl," n. 漩涡, 涡状形
v. 使成漩涡, 头晕"
subordinate," n. 属下,附属物
adj. 下级的,次要的,附属的
vt. 使居下位,使服从,把...放在次要"
blunt," adj. 迟钝的,钝的,直接的
vt.& vi. 使变钝
n. 混了大麻的雪茄"
spatiotemporal, adj. 时空的
miniature," n. 缩图,小画像
adj. 小规模的,纤小的"
pasteboard, n. 厚纸，纸板，纸牌
syntactic, adj. 句法的
wasteland," n. 荒地, 未开垦地"
oscillation," n. 振动, 动摇, 彷徨，振幅，单一的振动循环"
casualty," n. 变故,伤亡者,伤亡人数"
resettle, v. (使)重新定居，再安顿
clearance," n. 清除,解除,森林开拓"
flawless," adj. 完美的, 无瑕疵的"
momentous," adj. 重要的, 重大的"
muddle," n. 困惑, 混浊状态
vt.使混乱，使糊涂, 使惊呆
vi. 胡乱应付，混乱"
muscular," adj. 肌肉的, 肌肉发达的"
confer," vi. 商讨
vt. 赠予,授予"
ascribe," v. 归因于, 归咎于"
proponent," n. 建议者,支持者"
deform," v. 使...残缺, 使...变形"
trivialize, v. 使(某事情等)显得不重要
theorem, n. 定理
